week,lecture,title,url
1,1,"1.1 Software Testing Motivation","https://youtu.be/tTrVlQfP11M?si=rm_3DP2RgGdUcxJS"
1,2,"1.2 Software Development Life Cycle","https://youtu.be/79jPbpxndSw?si=hk4Wjw9kfBhkk6y5"
1,3,"1.3 Software Testing Terminologies","https://youtu.be/FpApclVsLrw?si=Xb33WWIZvVcz-Rg4"
1,4,"1.4 Software Testing Terminologies and Processes","https://youtu.be/eYkSXT89Gi8?si=ZM9auAqR4bVILPPe"
1,5,"1.5 Software Test Automation JUnit as an example","https://youtu.be/ZgZ0kpyED9k?si=6LfTX-Y6Qc-49opf"
2,1,"2.1 Basics of Graphs","https://youtu.be/nL-086Wy4GA?si=xs0EaMs1edlDTEzC"
2,2,"2.2 Fundamental Graph Algorithms","https://youtu.be/ukbL29rIvGs?si=ImOl-_yaLhBXFpCW"
2,3,"2.3 Elementary Graph Algorithms","https://youtu.be/mSOD0XURKWY?si=buxeJYNz67Z40k3c"
2,4,"2.4 Structural Graph Coverage Criteria","https://youtu.be/hAx7h7FqfKo?si=kGDdrxsaqYOwgm1S"
2,5,"2.5 Algorithms Structural Graph Coverage Criteria","https://youtu.be/VWDY1ohvtRI?si=mI6f4ZRESTsFQxCG"
